impact	AT	BE	BG	CY	CZ	DE	DK	EE	ES	FI	FR	GR	HU	IE	IT	LT	LU	LV	MT	NL	PL	PT	RO	SE	SI	SK	GB	US	JP	CN	CA	KR	BR	IN	MX	RU	AU	CH	TR	TW	NO	ID	ZA	WA	WL	WE	WF	WM
photochemical oxidation (high NOx)	40395535.0185	45333313.3234	37468087.4734	5128740.53281	40103686.7627	395103908.49	39935555.0735	10478968.0305	163113227.138	36209706.7949	230901545.644	73322892.7312	28369672.7993	23859753.6821	191755185.353	14415629.5525	3247866.48188	13407115.8361	1375425.50839	81651536.0784	192756430.409	36892398.7406	55331970.0996	40071852.166	9245154.55786	18400572.244	261181594.302	2092038225.99	442237340.059	3812411856.95	217863226.282	174434984.811	385538432.497	1387165798	243355771.759	382899177.98	161558160.713	29438833.1142	181769560.667	94098445.9406	33971644.8666	433059115.646	215546897.254	954642950.248	326377298.406	137194551.943	1616906515.73	333189646.277
photochemical oxidation (low NOx)	38720457.8803	36760640.2271	23253261.9123	2490577.4254	37538432.3921	367853643.643	40865049.2399	8636942.87314	124560334.191	34488758.7942	214309897.161	49627731.6161	30424164.501	19322642.2722	161617603.974	15464119.8318	2597463.5011	15968292.769	719550.433095	76699692.617	154755909.954	33254184.22	50478201.0962	35162051.066	9244690.4976	13751263.5729	215299600.081	1947237175.85	342058390.527	3242277075.48	185395037.58	137674243.448	474364320.311	1450457881.65	259034978.938	277148944.546	129899323.834	24800184.1975	150487461.479	64447260.14	28601406.1985	505297722.48	158835747.248	1098057702.88	359275504.636	99095410.8096	2260047054.42	301632147.319
photochemical oxidation (MIR; very high NOx)	16164914.6055	15571990.3077	9786176.8587	1056557.17615	15721157.0354	152748955.718	16792579.1883	3596354.96377	52507470.1018	14504133.7731	89631948.94	21385440.2675	12714632.1577	7975288.60224	68588220.5104	6454457.03778	1123633.87167	6517078.79361	306149.191195	32122713.2827	64090565.8534	13781303.0964	21000769.909	14705302.2168	3906382.0795	5912166.97462	89860536.9131	798596779.975	143584321.225	1312201326.24	75968903.602	58406825.0555	191743613.818	585678600.78	105396683.669	116135943.069	53700336.637	10357981.0934	62428414.4676	26942474.2176	11709722.6047	203781206.892	64348869.2084	441644851.018	146286118.774	41690134.462	905670617.695	122981354.242
photochemical oxidation (MOIR; high NOx)	29157922.003	28043454.4709	17636430.5369	1902441.92219	28347558.7769	275689253.435	30343516.5512	6488897.99381	94610761.1375	26141111.1605	161643742.855	38441454.7304	22931736.128	14403912.3221	123495070.733	11642701.4841	2018951.29423	11785171.6288	551076.863634	57921826.9424	115708275.219	24878689.0688	37895251.8204	26519926.5617	7036878.79399	10630039.8195	162092911.305	1443352099.2	258838047.843	2375179383.79	137316369.327	105167135.48	347119073.86	1060397578.89	190660094.964	209397154.052	96969233.6747	18682610.0204	112686203.332	48590824.0691	21167797.1949	369007162.929	116462623.292	799976757.081	264606940.919	75135874.9336	1641183870.42	222418601.373
photochemical oxidation (EBIR; low NOx)	37240379.3057	35829449.6247	22529518.9662	2430720.51027	36208137.2946	352063731.294	38739806.1453	8287075.47569	120864496.188	33393178.0471	206459717.325	49134174.8641	29289052.2068	18391556.6232	157789180.988	14869930.003	2580768.23006	15043711.0256	704151.459232	73983183.5838	147753558.146	31769340.617	48395636.7749	33872577.6701	8990069.83374	13586123.3068	207023179.761	1842650489.19	330630208.455	3031280046.91	175300821.128	134370548.008	442990880.769	1353236879.28	243358436.798	267465125.586	123819401.993	23861600.5671	143900410.565	62062061.1779	27022658.4973	470897766.374	148637057.897	1020799182.59	337750000.306	95980942.1646	2094019179.27	283909278.494
acidification (incl. fate, average Europe total, A&B)	543362786.264	775933639.001	620460780.373	124489893.504	521920956.613	5339984311.55	452282547.667	144122947.793	2801165929.35	471990684.099	3204996755.61	1322487046.36	303542738.882	418706943.022	3051868599.07	145408173.256	54680207.7268	104712840.431	29689523.448	1093642910.73	2738240095.13	511612495.561	713878269.98	588745325.638	114538705.806	302486416.505	4379325681.53	31113663915.9	7749488087.5	49189198289.1	3461937050.46	2913705716.25	2859400454.81	12639551194.1	2685594694.73	6931176851.82	2699904440.38	464821587.145	2751615392.32	1630386706.99	542950911.649	3141314658.66	3315450741.65	7958713892.32	3526225619.88	2447734066.29	3751867329.14	5421764769.35
acidification (fate not incl.)	567633534.835	806250543.165	566762636.628	126123439.889	530986725.284	5467094544.42	463219438.774	137887682.27	2837250945.24	486930791.2	3315316425.33	1308369363.26	321284854.555	435387974.35	3150956001.87	150975634.01	56556332.4025	111066464.881	29178021.432	1126155135.69	2612134786.46	517732721.646	709240042.902	600273248.053	120554505.735	300100681.969	4534653815.26	32667975552.1	7934755263.61	46054686738.5	3546490591.15	2967782845.31	3099981144.8	11969037352	2805423693.48	6996406984.97	2751941325.24	475770773.246	2744020244.12	1579061603.58	555353534.385	3108900320.08	3116882136.42	8135519481.72	3774933867.49	2458012853.74	3961246549.37	5767143341.2
eutrophication (fate not incl.)	102782445.348	178637287.904	48891412.6567	14782704.2141	85776899.1845	1148160045.11	92290235.7207	13971152.9748	877929782.954	75522691.7531	726525056.628	179245187.113	56275204.158	121151574.935	601379944.69	30584072.4748	12403463.5581	19478378.3846	4786795.96994	283839138.825	347342383.9	129800485.488	105157308.609	106986064.889	25617022.4005	44798922.0916	962491534.034	5262627067.18	1309042752.29	11454354597	601192579.976	537157984.48	1365901456.81	2226052379.78	562875344.728	1384865794.28	447777401.708	89756506.5314	471039136.596	172694381.462	103355550.713	404171995.786	252277311.066	1370019775.82	734247089.537	321285448.383	888356823.748	839268380.137
eutrophication (incl. fate, average Europe total, A&B)	493262222.117	689457429.71	214636697.421	96058660.9723	413161122.355	4382634628.84	375040285.624	76175804.4141	2158288537.16	403890703.637	2777746815.41	884929369.883	294399160.758	373195481.17	2628611596.25	127853719.359	47077934.5053	102188094.976	19114608.4929	928279569.672	1417943715.55	393096086.534	490897960.734	476335694.111	108355368.051	205611665.322	3812203483.46	29488045988.8	6377272786.22	21641653973.3	2878589352.85	2324266803.65	3079043232.29	6234044373.63	2462347112.61	5237737145.03	2167809863.13	383702954.678	1942271812.54	956691841.774	441660417.71	2140007632.92	1511977922.49	6472595696.71	3611082686.66	1791808533.57	3655096395.88	5414210005.55
radiation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
odour	3.48578671296e+12	6.72067389442e+12	2.06167283125e+12	637319938471	3.19953338499e+12	3.77308887097e+13	4.76698648331e+12	428346745477	1.41906590264e+13	3.7512164002e+12	2.42655179379e+13	5.6439808676e+12	2.51453876291e+12	3.52120948486e+12	2.75542663324e+13	822702304086	269158779422	687094518254	163076708715	9.37040778717e+12	9.65454200194e+12	3.041708542e+12	3.33961002703e+12	6.00926136082e+12	1.02072294898e+12	1.10652634965e+12	3.17701663206e+13	4.74877801143e+14	6.16640081613e+13	9.84756881047e+13	3.86757398747e+13	1.93987485207e+13	2.10171846973e+13	7.65007899244e+13	2.97888757383e+13	3.47018274067e+13	2.09620236701e+13	4.64581459714e+12	1.61851445183e+13	1.16931912217e+13	2.95872330345e+12	3.0177422447e+13	6.37686305995e+12	5.33360313986e+13	3.45792651621e+13	1.03101238434e+13	6.04305549347e+13	6.26299848539e+13
EPS	23455408947.6	31548547021.2	11331551692.5	2584937305.12	23368071362.6	218208693246	18213147517.5	4107891416.99	102281706466	18501522976	132741008196	37616025600.4	14535670855.3	14957081223.4	137447071538	5738222265.31	2575725805.98	4608502084.67	795733915.968	46027804426.9	71514880262.5	19509777187.4	27435332544.3	22024862161	5373151368.01	10823286614.3	165170265163	1.14115270492e+12	287693430697	1.43584249092e+12	117120966956	126714293709	106818232028	473446812795	108664974576	252590385818	88158817771.5	19569678526.5	88456021013.2	51410215555	16601717648.2	129368652735	74498707658.9	304939709849	151234932673	78562729666.6	360238311791	198573755411
Carcinogenic effects on humans (H.A)	15775.5611846	20271.8029757	5222.47748045	10089.3806271	8011.45954533	154905.458993	10481.794116	2532.31144615	50532.6944368	14529.0889446	63895.7453412	24737.7687221	5196.19715469	7890.59338449	86952.1832204	2823.59743824	1453.40961013	3654.47747879	700.439852961	27673.1291543	17209.8398413	7392.67691482	11227.2296614	17815.0608276	2383.63771553	4137.22114457	127504.452613	616200.182913	289926.244879	696111.454081	69701.725571	66568.3473812	94127.6636413	94787.2881557	33613.8747001	149433.347904	42620.4690792	19522.9669658	90931.7621574	18523.1596487	27801.0026243	106982.119139	56888.3092685	369232.30542	89714.5475133	47862.6016908	101772.808753	165199.09691
Respiratory effects on humans caused by organic substances (H.A)	470.51250772	579.798500742	258.097517845	47.9461634959	481.021056837	4125.78557144	412.376475557	82.3080574327	2183.35418648	362.306775753	3122.0539269	837.839938083	342.532587992	252.844490626	2914.49777488	158.30542118	50.8466978901	138.076528609	16.2212727732	935.596788152	1403.71495297	471.415448347	481.531072613	442.646466323	130.891975891	183.186926524	3031.11594431	20161.5869286	5274.54625489	26596.4201185	2009.59091812	2065.62324682	4313.97650351	16723.8968228	2973.55594247	3632.412002	1392.37754405	348.010469572	1650.65898127	938.707352704	385.447525683	4707.17287081	1380.58324346	11785.0495916	4899.30760579	1533.3760948	18747.5973874	4243.37152732
Respiratory effects on humans caused by inorganic substances (H.A)	141541.750637	146617.836935	82613.9520949	19317.7143431	133536.700206	1061351.499	107422.346082	31353.855797	499871.879455	119621.987711	751162.33789	204235.85474	74549.1982577	78460.290289	569904.75251	38713.7208646	10201.1591664	44766.1245694	3984.63679681	195034.809747	507011.995684	122913.921279	189773.059915	123200.350335	31026.2688004	46185.6198166	751155.094879	5540769.99288	1292553.99418	14414151.648	621443.036836	500216.168003	982314.498405	6545200.85001	658970.358968	1111315.5962	467517.331378	92519.8987773	643582.289439	231545.675879	109329.874072	2056315.71228	754783.436384	4554464.61976	1320364.70528	495569.431131	8518350.63336	930593.136111
Damages to human health caused by climate change (H.A)	30148.0265624	41453.2875191	12847.1329933	3237.40076336	30487.8873061	290464.806998	22511.2147733	4913.03650564	126276.912953	23817.8532631	166405.822947	46334.0992454	18782.3831456	20049.0396044	174788.342511	6919.47966103	3035.1819907	4661.48930844	1043.81402023	62060.9138638	85618.6015302	23315.037983	31951.8704382	26595.7908307	6677.62201542	14257.8114518	223473.480969	1584140.47649	379308.026475	1458966.22045	149129.075004	156934.697224	116609.859514	345328.655078	129679.715129	340318.127938	119334.117626	25057.6240808	102565.533698	60807.8668025	18348.09027	94838.9825356	74165.2022547	256230.722303	166286.257656	102435.559913	127734.966435	278536.222294
Human health effects caused by ionising radiation (H.A)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human health effects caused by ozone layer depletion (H.A)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Damage to Ecosystem Quality caused by ecotoxic emissions (H.A)	2250822373.24	3027333491.28	752185659.261	1051532186.83	1307129420.9	20871436425.5	1601510352.37	349122832.95	8018253157.06	1996164866.52	10505500214.3	3456155039.47	893627381.496	1298026274.08	12649819260.4	479030061.461	220675517.03	580600811.001	115057088.785	3863782307.69	3468987270.58	1365339288.36	1829366176.35	2480627219.01	385659741.394	672048413.055	16328764047.7	84553218531.8	37587975684.3	99667807275.5	9644818674.58	10269554474.8	13079866942.1	20950775841	7381808169.1	23345207704.4	5964540276.77	2576285117.77	11702126817.8	3296391889.13	3092994229.37	13190410425.1	6506493968.35	42368728374.1	15370261283.9	6507476772.26	19148704828.7	25068656948
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A)	2624906416.11	3674479720.56	1472754382.56	527575145.158	2255266352.09	23734622061.6	2019724795.99	458124231.056	11857934871.8	2168555400.86	14885779771.1	5013667646.19	1546588507	1988381115.75	14081266089.1	684722294.399	253274017.385	537148532.147	109075773.153	4988213347.77	8567772142.71	2158797495.11	2763119518.11	2577860183.83	571224782.467	1161730038.39	20419936063	154471380981	34486697031.1	137415067808	15484082711	12661101841.8	15926872777.2	38028454480.3	13021482090.6	28891241774.3	11779913885.9	2069286529.15	10855166691	5567835725.16	2400029236.57	11996887020.7	9497714951.77	35126997218.6	18781763993.3	9957425311.55	19048727052.5	28225948530.4
Damage to Ecosystem Quality caused by land occupation (H.A)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Damage to Ecosystem Quality caused by land conversion (H.A)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Damage to Resources caused by extraction of minerals (H.A)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Damage to Resources caused by extraction of fossil fuels (H.A)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carcinogenic effects on humans (E.E)	15775.5611846	20271.8029757	5222.47748045	10089.3806271	8011.45954533	154905.458993	10481.794116	2532.31144615	50532.6944368	14529.0889446	63895.7453412	24737.7687221	5196.19715469	7890.59338449	86952.1832204	2823.59743824	1453.40961013	3654.47747879	700.439852961	27673.1291543	17209.8398413	7392.67691482	11227.2296614	17815.0608276	2383.63771553	4137.22114457	127504.452613	616200.182913	289926.244879	696111.454081	69701.725571	66568.3473812	94127.6636413	94787.2881557	33613.8747001	149433.347904	42620.4690792	19522.9669658	90931.7621574	18523.1596487	27801.0026243	106982.119139	56888.3092685	369232.30542	89714.5475133	47862.6016908	101772.808753	165199.09691
Respiratory effects on humans caused by organic substances (E.E)	470.51250772	579.798500742	258.097517845	47.9461634959	481.021056837	4125.78557144	412.376475557	82.3080574327	2183.35418648	362.306775753	3122.0539269	837.839938083	342.532587992	252.844490626	2914.49777488	158.30542118	50.8466978901	138.076528609	16.2212727732	935.596788152	1403.71495297	471.415448347	481.531072613	442.646466323	130.891975891	183.186926524	3031.11594431	20161.5869286	5274.54625489	26596.4201185	2009.59091812	2065.62324682	4313.97650351	16723.8968228	2973.55594247	3632.412002	1392.37754405	348.010469572	1650.65898127	938.707352704	385.447525683	4707.17287081	1380.58324346	11785.0495916	4899.30760579	1533.3760948	18747.5973874	4243.37152732
Respiratory effects on humans caused by inorganic substances (E.E)	142336.649058	147417.31973	83055.8065723	19387.9046823	134280.609911	1068883.03893	108239.730502	31521.3811143	502561.254287	120305.980331	755553.378265	205266.120437	75141.633061	78906.5136788	573274.877545	39009.1101837	10254.9107828	45077.1898462	4001.97042417	196578.679881	510065.69823	123597.183249	190768.099969	123924.824081	31207.6433434	46459.9905231	755916.118453	5583404.13709	1300121.73674	14478846.9671	625542.177438	503123.363815	991766.746532	6573090.49379	664292.265785	1117514.18374	470398.243272	93047.6813725	646718.580097	232901.54517	109966.850482	2066042.92104	758094.175546	4576354.53711	1327809.99226	497744.142864	8560608.65329	937572.203325
Damages to human health caused by climate change (E.E)	30148.0265624	41453.2875191	12847.1329933	3237.40076336	30487.8873061	290464.806998	22511.2147733	4913.03650564	126276.912953	23817.8532631	166405.822947	46334.0992454	18782.3831456	20049.0396044	174788.342511	6919.47966103	3035.1819907	4661.48930844	1043.81402023	62060.9138638	85618.6015302	23315.037983	31951.8704382	26595.7908307	6677.62201542	14257.8114518	223473.480969	1584140.47649	379308.026475	1458966.22045	149129.075004	156934.697224	116609.859514	345328.655078	129679.715129	340318.127938	119334.117626	25057.6240808	102565.533698	60807.8668025	18348.09027	94838.9825356	74165.2022547	256230.722303	166286.257656	102435.559913	127734.966435	278536.222294
Human health effects caused by ionising radiation (E.E)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human health effects caused by ozone layer depletion (E.E)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Damage to Ecosystem Quality caused by ecotoxic emissions (E.E))	2250822373.24	3027333491.28	752185659.261	1051532186.83	1307129420.9	20871436425.5	1601510352.37	349122832.95	8018253157.06	1996164866.52	10505500214.3	3456155039.47	893627381.496	1298026274.08	12649819260.4	479030061.461	220675517.03	580600811.001	115057088.785	3863782307.69	3468987270.58	1365339288.36	1829366176.35	2480627219.01	385659741.394	672048413.055	16328764047.7	84553218531.8	37587975684.3	99667807275.5	9644818674.58	10269554474.8	13079866942.1	20950775841	7381808169.1	23345207704.4	5964540276.77	2576285117.77	11702126817.8	3296391889.13	3092994229.37	13190410425.1	6506493968.35	42368728374.1	15370261283.9	6507476772.26	19148704828.7	25068656948
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E)	2624906416.11	3674479720.56	1472754382.56	527575145.158	2255266352.09	23734622061.6	2019724795.99	458124231.056	11857934871.8	2168555400.86	14885779771.1	5013667646.19	1546588507	1988381115.75	14081266089.1	684722294.399	253274017.385	537148532.147	109075773.153	4988213347.77	8567772142.71	2158797495.11	2763119518.11	2577860183.83	571224782.467	1161730038.39	20419936063	154471380981	34486697031.1	137415067808	15484082711	12661101841.8	15926872777.2	38028454480.3	13021482090.6	28891241774.3	11779913885.9	2069286529.15	10855166691	5567835725.16	2400029236.57	11996887020.7	9497714951.77	35126997218.6	18781763993.3	9957425311.55	19048727052.5	28225948530.4
Damage to Ecosystem Quality caused by land occupation (E.E)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Damage to Ecosystem Quality caused by land conversion (E.E)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Damage to Resources caused by extraction of minerals (E.E)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Damage to Resources caused by extraction of fossil fuels (E.E)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carcinogenic effects on humans (I.I)	1208.26483122	1691.8939921	385.05208601	691.90080871	613.194657269	11567.8518702	803.823210956	179.549566721	4290.49944148	1074.99543031	5554.20980543	2005.76690154	405.07938347	690.95735361	6855.18954988	214.369149713	122.911616531	253.53385555	75.8239577962	2024.84125608	1469.109378	721.882591167	921.131802291	1296.51905525	203.096929418	314.685911488	9186.95011888	45846.6083542	23077.1326332	49939.8196643	5442.17482062	5599.43492376	6999.7306201	9556.01729617	4122.18206646	11157.0513366	3142.29941686	1525.45375926	6115.52050518	1714.20486516	1810.00750003	7533.8114654	3642.79968693	24458.3397315	8319.79240323	3594.70486193	8137.60284061	15166.6465986
Respiratory effects on humans caused by organic substances (I.I)	437.429597021	539.031418659	239.950036121	44.5749488751	447.199263778	3835.69127345	383.381254619	76.5207721445	2029.83709525	336.832080583	2902.53451016	778.929317437	318.448265399	235.066362379	2709.57215008	147.174571254	47.2715394447	128.368022691	15.0807145313	869.812638985	1305.01624534	438.269049635	447.67341907	411.52288666	121.688633836	170.306595753	2817.99060447	18743.9753477	4903.67972135	24726.3593289	1868.29155669	1920.38411227	4010.65003061	15547.9978275	2764.47779026	3377.00803311	1294.47599798	323.54098343	1534.59702165	872.704491967	358.345746533	4376.19977833	1283.51098415	10956.4132922	4554.82503976	1425.56058814	17429.4069461	3945.0094668
Respiratory effects on humans caused by inorganic substances (I.I)	77644.3225207	71580.3576359	48983.825054	9086.95077132	75993.8067654	547964.988922	59337.7742058	18854.3610915	252164.349209	66474.2201823	404723.882395	102713.373882	39218.6972307	38060.5947024	281228.147784	21587.3151111	4984.08093787	27350.5752544	1915.373304	94685.3212464	295400.605809	69272.8818688	112816.728013	65686.0674142	17070.3346194	22901.4102972	351152.84232	2571058.65092	615217.031387	9362974.42613	307822.673339	244751.220528	557024.763304	4454306.3044	355671.96283	537789.904796	229617.428136	47975.6092663	368823.18059	119984.116565	56769.586076	1391629.49372	470133.829935	2987392.91904	778079.795477	267747.174555	6031187.53164	403666.787498
Damages to human health caused by climate change (I.I)	28863.6095501	39681.1389839	12326.2436943	3095.88497541	29176.9945979	277922.016907	21550.0140411	4706.2016163	120837.564286	22825.4168303	159318.218832	44439.0319721	17996.7404599	19154.0251008	167310.638711	6644.90523123	2908.0626276	4465.72328445	998.066649444	59408.4453775	81985.2186663	22312.6611499	30595.0536841	25467.0796253	6400.73043375	13658.1084154	213624.586371	1512944.02184	362600.268339	1392729.89517	142431.341806	150135.010595	111513.70186	330028.812041	123884.859011	325149.214713	114063.707472	23968.9481161	98156.3249077	58166.9436465	17536.9667388	90697.3203184	70825.3656841	244612.28414	158965.889539	97981.1768646	122103.803338	265884.072088
Human health effects caused by ionising radiation (I.I)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human health effects caused by ozone layer depletion (I.I)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Damage to Ecosystem Quality caused by ecotoxic emissions (I.I)	322149673.018	421675607.829	105261013.345	153287813.415	184899787.187	2985065662.69	222188586.242	48000953.0725	1116535240.09	289172045.531	1485469796.75	487089096.417	125385809.67	180460488.113	1766045050.02	62299481.2505	30738718.9518	70579273.9941	16098431.4474	553630624.154	496285622.187	190915122.112	252195158.157	358710751.505	53983769.6151	93371927.5112	2343921941.66	12501208367.9	5406749947.24	14849790322.7	1417684723.84	1453740560.97	1932113414.74	3151915431.19	1053686259.49	2903126053.62	863270754.726	361332131.12	1598247195.94	456272102.49	443768738.099	2007002159.61	981704447.872	6262327724.5	2046254210.87	917443518.119	3045477754.56	3385262724.02
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (I.I)	2624906416.11	3674479720.56	1472754382.56	527575145.158	2255266352.09	23734622061.6	2019724795.99	458124231.056	11857934871.8	2168555400.86	14885779771.1	5013667646.19	1546588507	1988381115.75	14081266089.1	684722294.399	253274017.385	537148532.147	109075773.153	4988213347.77	8567772142.71	2158797495.11	2763119518.11	2577860183.83	571224782.467	1161730038.39	20419936063	154471380981	34486697031.1	137415067808	15484082711	12661101841.8	15926872777.2	38028454480.3	13021482090.6	28891241774.3	11779913885.9	2069286529.15	10855166691	5567835725.16	2400029236.57	11996887020.7	9497714951.77	35126997218.6	18781763993.3	9957425311.55	19048727052.5	28225948530.4
Damage to Ecosystem Quality caused by land occupation (I.I)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Damage to Ecosystem Quality caused by land conversion (I.I)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Damage to Resources caused by extraction of minerals (I.I)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Damage to Resources caused by extraction of fossil fuels (I.I)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photochemical oxidation (high NOx)(incl. NOx average, NMVOC average)	57030199.1567	60162784.1767	50922198.8637	3311490.66993	64169557.7443	539279126.088	59806608.9956	14097321.2534	250526204.245	47244526.6039	381535270.258	101820199.181	45519038.048	24961108.6647	330865314.075	22853356.351	5486671.06188	21624661.5349	1803092.80958	119589276.238	246157871.965	61645213.1598	73231986.4266	55673207.2692	16145898.4121	23533939.2894	322139657.47	2267088741.19	570433479.773	5241188410.58	237350748.242	235849408.453	653688526.032	2878477915.85	406008581.453	400916909.17	158770381.399	41032679.9759	224909920.261	131295580.182	45021806.699	825149375.179	259406884.84	1842824211.44	625135277.774	176677308.468	3549146365.64	422226753.806
photochemical oxidation (high NOx)(incl. NMVOC average)	94827338.8256	112365616.831	67183975.6503	10686270.3024	95733716.9907	872809610.666	87825487.753	19971805.7304	416269831.577	77888586.3029	592809989.588	169836735.099	67930414.7959	53257537.786	529236538.863	32677849.1429	9115695.23251	29466925.5675	3258271.23438	189765384.67	354934761.409	91677298.6056	110891956.507	91275140.162	24362177.4805	39407062.5129	612615508.892	4436105724.97	1053463876.39	6918027834.66	451697976.773	412940197.471	889878050.15	3345147349.62	590480834.056	803054052.14	322965405.919	69777331.7833	372904338.603	202927730.398	78920049.9601	984015642.809	376728966.624	2336217845.71	898762297.03	314777326.307	3817466883.03	828819654.542
human toxicity HTP inf. (incl. PAH average, Xylene average, NMVOC average)	166831356227	208289136830	55856193781.3	104296699798	87909766224.2	1.63649083532e+12	110330459990	26735995891.4	541146205493	151318341914	670799038155	256436141496	56933967639.3	79503386057.3	932320462259	29826921374.2	15728828833.8	38868087747.2	6376073620.91	295942726490	182409692490	76311647506.1	119695239358	190218381659	25266229811.6	44897485429.8	1.35569384687e+12	6.57144016542e+12	2.97814247685e+12	7.37308967938e+12	732501096957	714961035559	983371886176	1.01331025644e+12	327833798855	1.57173556877e+12	455879211037	201128089334	964101758425	201359638254	298260432540	1.12321425327e+12	610673061898	3.913132175e+12	893585482179	491204707914	1.06717440096e+12	1.61376249432e+12
Freshwater aquatic ecotoxicity FAETP inf. (incl. PAH average, Xylene average, NMVOC average)	262771791.247	307333098.235	94972661.9856	111171958.376	171747248.114	2287953791.93	177311647.626	43639983.1942	839108133.972	223892149.108	1195867345.87	380641727.78	100848474.746	136159127.146	1264017086.13	52870418.5774	22324059.9837	64454873.5842	10772865.5178	392597675.743	513647362.322	161355294.135	234838661.219	259139435.17	46341225.8465	67234967.9861	1691400762.84	9235440881.05	3842899946.4	15651046134.3	1046802244.83	1022480254.24	1591109225.03	5071173762.35	849418336.612	2071636073.53	675008107.684	273022716.829	1285349635.22	318229550.285	334352662.629	2406058709.06	968448131.472	6572054671.67	1861650147.62	776300995.104	6987336158.75	2394510949.55
